FIPS Code,state/area,year,Civilian non-institutional population,CLF-Total,CLF-Pecent of population,Employment-Total,Employment-Percent of population,Unemployment-Total,Unemployment-Rate
47,Tennessee,2000,"4,357,893   ","2,845,308   ",65.3   ,"2,735,994   ",62.8   ,"109,314   ",3.8   
48,Texas,2000,"15,201,236   ","10,397,789   ",68.4   ,"9,943,071   ",65.4   ,"454,718   ",4.4   
49,Utah,2000,"1,581,565   ","1,138,756   ",72.0   ,"1,100,798   ",69.6   ,"37,958   ",3.3   
50,Vermont,2000,"474,010   ","334,165   ",70.5   ,"324,945   ",68.6   ,"9,220   ",2.8   
51,Virginia,2000,"5,302,690   ","3,610,243   ",68.1   ,"3,527,479   ",66.5   ,"82,764   ",2.3   
53,Washington,2000,"4,465,197   ","3,065,055   ",68.6   ,"2,910,080   ",65.2   ,"154,975   ",5.1   
54,West Virginia,2000,"1,431,044   ","798,772   ",55.8   ,"754,372   ",52.7   ,"44,400   ",5.6   
55,Wisconsin,2000,"4,085,968   ","2,981,703   ",73.0   ,"2,880,877   ",70.5   ,"100,826   ",3.4   
56,Wyoming,2000,"372,910   ","265,915   ",71.3   ,"255,819   ",68.6   ,"10,096   ",3.8   
01,Alabama,2001,"3,398,456   ","2,132,261   ",62.7   ,"2,022,599   ",59.5   ,"109,662   ",5.1   
02,Alaska,2001,"443,321   ","321,942   ",72.6   ,"301,756   ",68.1   ,"20,186   ",6.3   
04,Arizona,2001,"3,936,355   ","2,584,996   ",65.7   ,"2,462,520   ",62.6   ,"122,476   ",4.7   
05,Arkansas,2001,"2,041,323   ","1,263,108   ",61.9   ,"1,202,987   ",58.9   ,"60,121   ",4.8   
06,California,2001,"25,560,595   ","17,145,262   ",67.1   ,"16,208,523   ",63.4   ,"936,739   ",5.5   
037,Los Angeles County,2001,"7,149,616   ","4,742,451   ",66.3   ,"4,471,938   ",62.5   ,"270,513   ",5.7   
08,Colorado,2001,"3,341,570   ","2,391,028   ",71.6   ,"2,299,651   ",68.8   ,"91,377   ",3.8   
09,Connecticut,2001,"2,616,220   ","1,754,017   ",67.0   ,"1,702,622   ",65.1   ,"51,395   ",2.9   
10,Delaware,2001,"605,805   ","421,830   ",69.6   ,"407,114   ",67.2   ,"14,716   ",3.5   
11,District of Columbia,2001,"461,896   ","312,061   ",67.6   ,"292,370   ",63.3   ,"19,691   ",6.3   
12,Florida,2001,"12,757,077   ","8,081,808   ",63.4   ,"7,702,461   ",60.4   ,"379,347   ",4.7   
13,Georgia,2001,"6,215,888   ","4,241,215   ",68.2   ,"4,071,965   ",65.5   ,"169,250   ",4.0   
15,Hawaii,2001,"912,759   ","612,596   ",67.1   ,"586,406   ",64.2   ,"26,190   ",4.3   
16,Idaho,2001,"969,618   ","678,395   ",70.0   ,"644,046   ",66.4   ,"34,349   ",5.1   
17,Illinois,2001,"9,403,328   ","6,449,521   ",68.6   ,"6,099,153   ",64.9   ,"350,368   ",5.4   
18,Indiana,2001,"4,633,605   ","3,145,690   ",67.9   ,"3,013,672   ",65.0   ,"132,018   ",4.2   
19,Iowa,2001,"2,241,711   ","1,613,228   ",72.0   ,"1,559,254   ",69.6   ,"53,974   ",3.3   
