FIPS Code,state/area,year,Civilian non-institutional population,CLF-Total,CLF-Pecent of population,Employment-Total,Employment-Percent of population,Unemployment-Total,Unemployment-Rate
01,Alabama,1976,"2,632,667   ","1,500,615   ",57.0   ,"1,399,921   ",53.2   ,"100,694   ",6.7   
02,Alaska,1976,"239,917   ","164,450   ",68.5   ,"151,844   ",63.3   ,"12,606   ",7.7   
04,Arizona,1976,"1,650,917   ","981,641   ",59.5   ,"885,169   ",53.6   ,"96,472   ",9.8   
05,Arkansas,1976,"1,546,583   ","893,849   ",57.8   ,"832,100   ",53.8   ,"61,749   ",6.9   
06,California,1976,"15,823,750   ","9,892,525   ",62.5   ,"8,982,727   ",56.8   ,"909,798   ",9.2   
037,Los Angeles County,1976,"5,320,083   ","3,390,927   ",63.7   ,"3,089,800   ",58.1   ,"301,127   ",8.9   
08,Colorado,1976,"1,858,250   ","1,241,861   ",66.8   ,"1,167,716   ",62.8   ,"74,145   ",6.0   
09,Connecticut,1976,"2,260,083   ","1,451,846   ",64.2   ,"1,318,663   ",58.3   ,"133,183   ",9.2   
10,Delaware,1976,"420,667   ","263,764   ",62.7   ,"240,906   ",57.3   ,"22,858   ",8.7   
11,District of Columbia,1976,"517,250   ","332,022   ",64.2   ,"303,139   ",58.6   ,"28,883   ",8.7   
12,Florida,1976,"6,509,000   ","3,598,839   ",55.3   ,"3,264,416   ",50.2   ,"334,423   ",9.3   
13,Georgia,1976,"3,557,750   ","2,270,404   ",63.8   ,"2,085,187   ",58.6   ,"185,217   ",8.2   
15,Hawaii,1976,"591,833   ","409,851   ",69.3   ,"372,252   ",62.9   ,"37,599   ",9.2   
16,Idaho,1976,"589,333   ","372,484   ",63.2   ,"351,593   ",59.7   ,"20,891   ",5.6   
17,Illinois,1976,"8,177,500   ","5,147,046   ",62.9   ,"4,810,302   ",58.8   ,"336,744   ",6.5   
18,Indiana,1976,"3,812,500   ","2,438,409   ",64.0   ,"2,290,238   ",60.1   ,"148,171   ",6.1   
19,Iowa,1976,"2,081,583   ","1,338,535   ",64.3   ,"1,282,842   ",61.6   ,"55,693   ",4.2   
20,Kansas,1976,"1,647,583   ","1,077,340   ",65.4   ,"1,032,679   ",62.7   ,"44,661   ",4.1   
21,Kentucky,1976,"2,486,500   ","1,493,465   ",60.1   ,"1,412,199   ",56.8   ,"81,266   ",5.4   
22,Louisiana,1976,"2,707,250   ","1,532,221   ",56.6   ,"1,430,872   ",52.9   ,"101,349   ",6.6   
23,Maine,1976,"772,833   ","476,111   ",61.6   ,"434,945   ",56.3   ,"41,166   ",8.6   
24,Maryland,1976,"2,977,417   ","1,912,208   ",64.2   ,"1,785,342   ",60.0   ,"126,866   ",6.6   
25,Massachusetts,1976,"4,212,167   ","2,727,705   ",64.8   ,"2,460,609   ",58.4   ,"267,096   ",9.8   
26,Michigan,1976,"6,453,167   ","3,983,699   ",61.7   ,"3,608,680   ",55.9   ,"375,019   ",9.4   
27,Minnesota,1976,"2,812,250   ","1,848,717   ",65.7   ,"1,741,662   ",61.9   ,"107,055   ",5.8   
28,Mississippi,1976,"1,657,167   ","970,119   ",58.5   ,"906,906   ",54.7   ,"63,213   ",6.5   
29,Missouri,1976,"3,486,917   ","2,123,405   ",60.9   ,"1,991,342   ",57.1   ,"132,063   ",6.2   
30,Montana,1976,"536,667   ","334,039   ",62.2   ,"314,166   ",58.5   ,"19,873   ",5.9   
31,Nebraska,1976,"1,101,167   ","715,076   ",64.9   ,"692,532   ",62.9   ,"22,544   ",3.2   
32,Nevada,1976,"463,417   ","327,990   ",70.8   ,"299,003   ",64.5   ,"28,987   ",8.8   
33,New Hampshire,1976,"602,000   ","398,208   ",66.1   ,"372,607   ",61.9   ,"25,601   ",6.4   
34,New Jersey,1976,"5,382,750   ","3,321,131   ",61.7   ,"2,975,947   ",55.3   ,"345,184   ",10.4   
35,New Mexico,1976,"808,000   ","487,474   ",60.3   ,"444,908   ",55.1   ,"42,566   ",8.7   
36,New York,1976,"13,221,750   ","7,675,931   ",58.1   ,"6,890,638   ",52.1   ,"785,293   ",10.2   
51000,New York city,1976,"5,679,083   ","3,074,365   ",54.1   ,"2,732,412   ",48.1   ,"341,953   ",11.1   
37,North Carolina,1976,"3,937,333   ","2,607,795   ",66.2   ,"2,444,932   ",62.1   ,"162,863   ",6.2   
38,North Dakota,1976,"446,250   ","280,260   ",62.8   ,"269,603   ",60.4   ,"10,657   ",3.8   
39,Ohio,1976,"7,731,000   ","4,751,112   ",61.5   ,"4,383,254   ",56.7   ,"367,858   ",7.7   
40,Oklahoma,1976,"2,020,583   ","1,192,532   ",59.0   ,"1,125,887   ",55.7   ,"66,645   ",5.6   
41,Oregon,1976,"1,739,583   ","1,096,938   ",63.1   ,"994,687   ",57.2   ,"102,251   ",9.3   
42,Pennsylvania,1976,"8,807,167   ","5,135,350   ",58.3   ,"4,724,246   ",53.6   ,"411,104   ",8.0   
44,Rhode Island,1976,"695,750   ","441,582   ",63.5   ,"406,183   ",58.4   ,"35,399   ",8.0   
45,South Carolina,1976,"2,007,417   ","1,298,668   ",64.7   ,"1,207,409   ",60.1   ,"91,259   ",7.0   
46,South Dakota,1976,"480,583   ","311,866   ",64.9   ,"301,348   ",62.7   ,"10,518   ",3.4   
47,Tennessee,1976,"3,112,917   ","1,859,433   ",59.7   ,"1,745,655   ",56.1   ,"113,778   ",6.1   
48,Texas,1976,"8,957,667   ","5,697,726   ",63.6   ,"5,366,318   ",59.9   ,"331,408   ",5.8   
49,Utah,1976,"836,417   ","524,995   ",62.8   ,"495,591   ",59.3   ,"29,404   ",5.6   
50,Vermont,1976,"342,917   ","218,251   ",63.6   ,"200,286   ",58.4   ,"17,965   ",8.2   
51,Virginia,1976,"3,578,083   ","2,339,607   ",65.4   ,"2,202,015   ",61.5   ,"137,592   ",5.9   
53,Washington,1976,"2,633,667   ","1,616,057   ",61.4   ,"1,474,505   ",56.0   ,"141,552   ",8.8   
54,West Virginia,1976,"1,366,917   ","708,264   ",51.8   ,"657,388   ",48.1   ,"50,876   ",7.2   
55,Wisconsin,1976,"3,266,333   ","2,146,137   ",65.7   ,"2,026,390   ",62.0   ,"119,747   ",5.6   
56,Wyoming,1976,"275,500   ","180,542   ",65.5   ,"173,486   ",63.0   ,"7,056   ",3.9   
01,Alabama,1977,"2,688,917   ","1,563,594   ",58.1   ,"1,452,205   ",54.0   ,"111,389   ",7.1   
02,Alaska,1977,"248,083   ","173,464   ",69.9   ,"156,535   ",63.1   ,"16,929   ",9.8   
04,Arizona,1977,"1,726,250   ","1,042,825   ",60.4   ,"955,224   ",55.3   ,"87,601   ",8.4   
05,Arkansas,1977,"1,581,917   ","924,497   ",58.4   ,"864,630   ",54.7   ,"59,867   ",6.5   
06,California,1977,"16,277,917   ","10,373,015   ",63.7   ,"9,504,657   ",58.4   ,"868,358   ",8.4   
037,Los Angeles County,1977,"5,394,417   ","3,463,636   ",64.2   ,"3,183,819   ",59.0   ,"279,817   ",8.1   
08,Colorado,1977,"1,923,667   ","1,295,181   ",67.3   ,"1,213,371   ",63.1   ,"81,810   ",6.3   
09,Connecticut,1977,"2,286,000   ","1,485,777   ",65.0   ,"1,381,208   ",60.4   ,"104,569   ",7.0   
10,Delaware,1977,"428,583   ","272,109   ",63.5   ,"249,896   ",58.3   ,"22,213   ",8.2   
11,District of Columbia,1977,"512,500   ","327,546   ",63.9   ,"299,505   ",58.4   ,"28,041   ",8.6   
12,Florida,1977,"6,720,167   ","3,730,425   ",55.5   ,"3,422,065   ",50.9   ,"308,360   ",8.3   
13,Georgia,1977,"3,646,333   ","2,329,611   ",63.9   ,"2,168,157   ",59.5   ,"161,454   ",6.9   
15,Hawaii,1977,"608,917   ","417,073   ",68.5   ,"385,647   ",63.3   ,"31,426   ",7.5   
16,Idaho,1977,"611,000   ","397,049   ",65.0   ,"373,740   ",61.2   ,"23,309   ",5.9   
17,Illinois,1977,"8,280,750   ","5,286,687   ",63.8   ,"4,959,428   ",59.9   ,"327,259   ",6.2   
18,Indiana,1977,"3,868,417   ","2,484,950   ",64.2   ,"2,341,895   ",60.5   ,"143,055   ",5.8   
19,Iowa,1977,"2,109,250   ","1,385,948   ",65.7   ,"1,330,065   ",63.1   ,"55,883   ",4.0   
20,Kansas,1977,"1,673,667   ","1,110,166   ",66.3   ,"1,067,006   ",63.8   ,"43,160   ",3.9   
21,Kentucky,1977,"2,538,167   ","1,537,832   ",60.6   ,"1,463,254   ",57.7   ,"74,578   ",4.8   
22,Louisiana,1977,"2,775,417   ","1,601,603   ",57.7   ,"1,490,729   ",53.7   ,"110,874   ",6.9   
23,Maine,1977,"790,083   ","480,599   ",60.8   ,"440,348   ",55.7   ,"40,251   ",8.4   
24,Maryland,1977,"3,030,250   ","1,969,310   ",65.0   ,"1,849,405   ",61.0   ,"119,905   ",6.1   
25,Massachusetts,1977,"4,254,167   ","2,753,330   ",64.7   ,"2,536,924   ",59.6   ,"216,406   ",7.9   
26,Michigan,1977,"6,543,083   ","4,109,294   ",62.8   ,"3,771,768   ",57.6   ,"337,526   ",8.2   
27,Minnesota,1977,"2,861,667   ","1,919,749   ",67.1   ,"1,818,464   ",63.5   ,"101,285   ",5.3   
28,Mississippi,1977,"1,690,583   ","993,611   ",58.8   ,"922,082   ",54.5   ,"71,529   ",7.2   
29,Missouri,1977,"3,535,000   ","2,204,297   ",62.4   ,"2,072,054   ",58.6   ,"132,243   ",6.0   
30,Montana,1977,"550,500   ","348,780   ",63.4   ,"327,199   ",59.4   ,"21,581   ",6.2   
31,Nebraska,1977,"1,114,417   ","740,271   ",66.4   ,"715,354   ",64.2   ,"24,917   ",3.4   
32,Nevada,1977,"492,500   ","350,765   ",71.2   ,"326,882   ",66.4   ,"23,883   ",6.8   
33,New Hampshire,1977,"625,667   ","418,944   ",67.0   ,"395,710   ",63.2   ,"23,234   ",5.5   
34,New Jersey,1977,"5,436,833   ","3,386,590   ",62.3   ,"3,070,037   ",56.5   ,"316,553   ",9.3   
35,New Mexico,1977,"838,583   ","511,830   ",61.0   ,"472,384   ",56.3   ,"39,446   ",7.7   
36,New York,1977,"13,244,083   ","7,731,821   ",58.4   ,"7,023,829   ",53.0   ,"707,992   ",9.2   
51000,New York city,1977,"5,618,250   ","3,060,116   ",54.5   ,"2,748,902   ",48.9   ,"311,214   ",10.2   
37,North Carolina,1977,"4,027,333   ","2,684,570   ",66.7   ,"2,526,540   ",62.7   ,"158,030   ",5.9   
38,North Dakota,1977,"453,417   ","288,469   ",63.6   ,"275,671   ",60.8   ,"12,798   ",4.4   
39,Ohio,1977,"7,812,167   ","4,831,332   ",61.8   ,"4,518,935   ",57.8   ,"312,397   ",6.5   
40,Oklahoma,1977,"2,065,583   ","1,240,130   ",60.0   ,"1,181,129   ",57.2   ,"59,001   ",4.8   
41,Oregon,1977,"1,800,333   ","1,151,895   ",64.0   ,"1,066,485   ",59.2   ,"85,410   ",7.4   
42,Pennsylvania,1977,"8,879,000   ","5,210,584   ",58.7   ,"4,808,178   ",54.2   ,"402,406   ",7.7   
44,Rhode Island,1977,"706,083   ","449,144   ",63.6   ,"412,920   ",58.5   ,"36,224   ",8.1   
45,South Carolina,1977,"2,061,250   ","1,326,585   ",64.4   ,"1,236,934   ",60.0   ,"89,651   ",6.8   
46,South Dakota,1977,"486,583   ","318,691   ",65.5   ,"307,876   ",63.3   ,"10,815   ",3.4   
47,Tennessee,1977,"3,188,167   ","1,936,837   ",60.8   ,"1,816,156   ",57.0   ,"120,681   ",6.2   
48,Texas,1977,"9,243,167   ","5,963,232   ",64.5   ,"5,639,355   ",61.0   ,"323,877   ",5.4   
49,Utah,1977,"866,000   ","546,697   ",63.1   ,"518,236   ",59.8   ,"28,461   ",5.2   
50,Vermont,1977,"351,583   ","227,947   ",64.8   ,"212,019   ",60.3   ,"15,928   ",7.0   
51,Virginia,1977,"3,667,667   ","2,402,669   ",65.5   ,"2,271,354   ",61.9   ,"131,315   ",5.5   
53,Washington,1977,"2,719,000   ","1,708,029   ",62.8   ,"1,565,199   ",57.6   ,"142,830   ",8.4   
54,West Virginia,1977,"1,394,583   ","719,521   ",51.6   ,"669,856   ",48.0   ,"49,665   ",6.9   
55,Wisconsin,1977,"3,319,417   ","2,187,585   ",65.9   ,"2,077,001   ",62.6   ,"110,584   ",5.1   
56,Wyoming,1977,"288,833   ","195,237   ",67.6   ,"188,744   ",65.3   ,"6,493   ",3.3   
01,Alabama,1978,"2,745,083   ","1,619,692   ",59.0   ,"1,514,671   ",55.2   ,"105,021   ",6.5   
02,Alaska,1978,"255,000   ","182,160   ",71.4   ,"162,741   ",63.8   ,"19,419   ",10.7   
04,Arizona,1978,"1,809,083   ","1,085,110   ",60.0   ,"1,020,576   ",56.4   ,"64,534   ",5.9   
05,Arkansas,1978,"1,616,250   ","947,223   ",58.6   ,"888,262   ",55.0   ,"58,961   ",6.2   
06,California,1978,"16,761,667   ","10,914,879   ",65.1   ,"10,135,587   ",60.5   ,"779,292   ",7.1   
037,Los Angeles County,1978,"5,485,500   ","3,597,187   ",65.6   ,"3,351,494   ",61.1   ,"245,693   ",6.8   
08,Colorado,1978,"1,994,750   ","1,353,528   ",67.9   ,"1,278,333   ",64.1   ,"75,195   ",5.6   
09,Connecticut,1978,"2,312,833   ","1,512,562   ",65.4   ,"1,432,247   ",61.9   ,"80,315   ",5.3   
10,Delaware,1978,"434,750   ","277,169   ",63.8   ,"257,618   ",59.3   ,"19,551   ",7.1   
11,District of Columbia,1978,"508,750   ","332,994   ",65.5   ,"307,293   ",60.4   ,"25,701   ",7.7   
12,Florida,1978,"6,970,583   ","3,961,546   ",56.8   ,"3,692,603   ",53.0   ,"268,943   ",6.8   
13,Georgia,1978,"3,732,167   ","2,411,350   ",64.6   ,"2,273,425   ",60.9   ,"137,925   ",5.7   
15,Hawaii,1978,"624,167   ","421,691   ",67.6   ,"392,269   ",62.8   ,"29,422   ",7.0   
16,Idaho,1978,"631,667   ","414,751   ",65.7   ,"391,937   ",62.0   ,"22,814   ",5.5   
17,Illinois,1978,"8,365,417   ","5,422,917   ",64.8   ,"5,096,902   ",60.9   ,"326,015   ",6.0   
18,Indiana,1978,"3,928,917   ","2,583,919   ",65.8   ,"2,439,912   ",62.1   ,"144,007   ",5.6   
19,Iowa,1978,"2,129,333   ","1,415,797   ",66.5   ,"1,360,723   ",63.9   ,"55,074   ",3.9   
20,Kansas,1978,"1,697,750   ","1,135,794   ",66.9   ,"1,101,120   ",64.9   ,"34,674   ",3.1   
21,Kentucky,1978,"2,581,583   ","1,576,591   ",61.1   ,"1,496,608   ",58.0   ,"79,983   ",5.1   
22,Louisiana,1978,"2,836,500   ","1,667,189   ",58.8   ,"1,553,455   ",54.8   ,"113,734   ",6.8   
23,Maine,1978,"805,333   ","485,432   ",60.3   ,"454,300   ",56.4   ,"31,132   ",6.4   
24,Maryland,1978,"3,076,917   ","2,050,467   ",66.6   ,"1,936,450   ",62.9   ,"114,017   ",5.6   
25,Massachusetts,1978,"4,297,167   ","2,815,479   ",65.5   ,"2,642,147   ",61.5   ,"173,332   ",6.2   
26,Michigan,1978,"6,634,500   ","4,220,924   ",63.6   ,"3,924,773   ",59.2   ,"296,151   ",7.0   
27,Minnesota,1978,"2,907,500   ","1,978,503   ",68.0   ,"1,899,967   ",65.3   ,"78,536   ",4.0   
28,Mississippi,1978,"1,722,000   ","1,009,957   ",58.7   ,"941,591   ",54.7   ,"68,366   ",6.8   
29,Missouri,1978,"3,581,750   ","2,261,997   ",63.2   ,"2,151,197   ",60.1   ,"110,800   ",4.9   
30,Montana,1978,"564,667   ","364,452   ",64.5   ,"344,035   ",60.9   ,"20,417   ",5.6   
31,Nebraska,1978,"1,127,167   ","752,855   ",66.8   ,"730,576   ",64.8   ,"22,279   ",3.0   
32,Nevada,1978,"528,750   ","373,273   ",70.6   ,"356,739   ",67.5   ,"16,534   ",4.4   
33,New Hampshire,1978,"647,833   ","435,293   ",67.2   ,"418,708   ",64.6   ,"16,585   ",3.8   
34,New Jersey,1978,"5,497,917   ","3,461,135   ",63.0   ,"3,209,835   ",58.4   ,"251,300   ",7.3   
35,New Mexico,1978,"866,417   ","532,398   ",61.4   ,"499,606   ",57.7   ,"32,792   ",6.2   
36,New York,1978,"13,252,750   ","7,845,437   ",59.2   ,"7,241,610   ",54.6   ,"603,827   ",7.7   
51000,New York city,1978,"5,561,667   ","3,057,016   ",55.0   ,"2,783,735   ",50.1   ,"273,281   ",8.9   
37,North Carolina,1978,"4,113,167   ","2,764,442   ",67.2   ,"2,638,240   ",64.1   ,"126,202   ",4.6   
38,North Dakota,1978,"458,750   ","294,926   ",64.3   ,"282,521   ",61.6   ,"12,405   ",4.2   
39,Ohio,1978,"7,891,000   ","4,953,805   ",62.8   ,"4,681,184   ",59.3   ,"272,621   ",5.5   
40,Oklahoma,1978,"2,112,167   ","1,268,668   ",60.1   ,"1,226,210   ",58.1   ,"42,458   ",3.3   
41,Oregon,1978,"1,862,167   ","1,209,185   ",64.9   ,"1,135,098   ",61.0   ,"74,087   ",6.1   
42,Pennsylvania,1978,"8,938,917   ","5,302,803   ",59.3   ,"4,931,164   ",55.2   ,"371,639   ",7.0   
44,Rhode Island,1978,"714,333   ","450,905   ",63.1   ,"422,337   ",59.1   ,"28,568   ",6.3   
45,South Carolina,1978,"2,117,667   ","1,357,715   ",64.1   ,"1,282,095   ",60.5   ,"75,620   ",5.6   
46,South Dakota,1978,"490,000   ","322,748   ",65.9   ,"312,458   ",63.8   ,"10,290   ",3.2   
47,Tennessee,1978,"3,254,167   ","1,974,814   ",60.7   ,"1,861,117   ",57.2   ,"113,697   ",5.8   
48,Texas,1978,"9,535,417   ","6,231,252   ",65.3   ,"5,924,912   ",62.1   ,"306,340   ",4.9   
49,Utah,1978,"896,750   ","568,456   ",63.4   ,"546,449   ",60.9   ,"22,007   ",3.9   
50,Vermont,1978,"359,833   ","237,269   ",65.9   ,"224,165   ",62.3   ,"13,104   ",5.5   
51,Virginia,1978,"3,755,667   ","2,484,887   ",66.2   ,"2,356,079   ",62.7   ,"128,808   ",5.2   
53,Washington,1978,"2,823,333   ","1,809,452   ",64.1   ,"1,686,389   ",59.7   ,"123,063   ",6.8   
54,West Virginia,1978,"1,412,667   ","736,242   ",52.1   ,"689,102   ",48.8   ,"47,140   ",6.4   
55,Wisconsin,1978,"3,366,333   ","2,252,355   ",66.9   ,"2,142,167   ",63.6   ,"110,188   ",4.9   
56,Wyoming,1978,"304,250   ","210,109   ",69.1   ,"203,975   ",67.0   ,"6,134   ",2.9   
01,Alabama,1979,"2,790,583   ","1,658,246   ",59.4   ,"1,538,621   ",55.1   ,"119,625   ",7.2   
02,Alaska,1979,"258,167   ","184,739   ",71.6   ,"167,982   ",65.1   ,"16,757   ",9.1   
04,Arizona,1979,"1,908,083   ","1,155,789   ",60.6   ,"1,097,452   ",57.5   ,"58,337   ",5.0   
05,Arkansas,1979,"1,646,917   ","974,311   ",59.2   ,"913,221   ",55.5   ,"61,090   ",6.3   
06,California,1979,"17,214,167   ","11,292,953   ",65.6   ,"10,590,466   ",61.5   ,"702,487   ",6.2   
037,Los Angeles County,1979,"5,556,083   ","3,678,918   ",66.2   ,"3,475,318   ",62.5   ,"203,600   ",5.5   
08,Colorado,1979,"2,069,833   ","1,434,055   ",69.3   ,"1,367,649   ",66.1   ,"66,406   ",4.6   
09,Connecticut,1979,"2,339,167   ","1,565,208   ",66.9   ,"1,485,071   ",63.5   ,"80,137   ",5.1   
10,Delaware,1979,"439,167   ","281,027   ",64.0   ,"261,772   ",59.6   ,"19,255   ",6.9   
11,District of Columbia,1979,"501,833   ","329,713   ",65.7   ,"307,281   ",61.2   ,"22,432   ",6.8   
12,Florida,1979,"7,279,417   ","4,141,853   ",56.9   ,"3,894,608   ",53.5   ,"247,245   ",6.0   
13,Georgia,1979,"3,828,667   ","2,468,340   ",64.5   ,"2,342,044   ",61.2   ,"126,296   ",5.1   
15,Hawaii,1979,"644,250   ","428,331   ",66.5   ,"403,984   ",62.7   ,"24,347   ",5.7   
16,Idaho,1979,"647,917   ","428,395   ",66.1   ,"403,515   ",62.3   ,"24,880   ",5.8   
17,Illinois,1979,"8,420,333   ","5,458,173   ",64.8   ,"5,155,032   ",61.2   ,"303,141   ",5.6   
18,Indiana,1979,"3,977,750   ","2,631,223   ",66.1   ,"2,461,836   ",61.9   ,"169,387   ",6.4   
19,Iowa,1979,"2,142,083   ","1,422,631   ",66.4   ,"1,363,266   ",63.6   ,"59,365   ",4.2   
20,Kansas,1979,"1,719,250   ","1,161,289   ",67.5   ,"1,125,464   ",65.5   ,"35,825   ",3.1   
21,Kentucky,1979,"2,619,667   ","1,611,702   ",61.5   ,"1,522,101   ",58.1   ,"89,601   ",5.6   
22,Louisiana,1979,"2,905,500   ","1,719,431   ",59.2   ,"1,604,853   ",55.2   ,"114,578   ",6.7   
23,Maine,1979,"818,417   ","498,906   ",61.0   ,"465,875   ",56.9   ,"33,031   ",6.6   
24,Maryland,1979,"3,114,500   ","2,112,310   ",67.8   ,"1,989,843   ",63.9   ,"122,467   ",5.8   
25,Massachusetts,1979,"4,338,667   ","2,859,551   ",65.9   ,"2,703,084   ",62.3   ,"156,467   ",5.5   
26,Michigan,1979,"6,718,333   ","4,324,424   ",64.4   ,"3,985,396   ",59.3   ,"339,028   ",7.8   
27,Minnesota,1979,"2,957,083   ","2,046,339   ",69.2   ,"1,958,140   ",66.2   ,"88,199   ",4.3   
28,Mississippi,1979,"1,748,333   ","1,021,623   ",58.4   ,"963,423   ",55.1   ,"58,200   ",5.7   
29,Missouri,1979,"3,620,750   ","2,301,831   ",63.6   ,"2,192,454   ",60.6   ,"109,377   ",4.8   
30,Montana,1979,"571,917   ","369,431   ",64.6   ,"350,133   ",61.2   ,"19,298   ",5.2   
31,Nebraska,1979,"1,137,750   ","759,449   ",66.8   ,"737,550   ",64.8   ,"21,899   ",2.9   
32,Nevada,1979,"567,667   ","402,062   ",70.8   ,"382,264   ",67.3   ,"19,798   ",4.9   
33,New Hampshire,1979,"667,583   ","454,533   ",68.1   ,"440,262   ",65.9   ,"14,271   ",3.1   
34,New Jersey,1979,"5,553,917   ","3,560,961   ",64.1   ,"3,317,384   ",59.7   ,"243,577   ",6.8   
35,New Mexico,1979,"895,583   ","553,121   ",61.8   ,"516,463   ",57.7   ,"36,658   ",6.6   
36,New York,1979,"13,278,917   ","7,994,479   ",60.2   ,"7,428,372   ",55.9   ,"566,107   ",7.1   
51000,New York city,1979,"5,525,083   ","3,064,722   ",55.5   ,"2,801,230   ",50.7   ,"263,492   ",8.6   
37,North Carolina,1979,"4,197,500   ","2,809,110   ",66.9   ,"2,673,630   ",63.7   ,"135,480   ",4.8   
38,North Dakota,1979,"463,500   ","300,003   ",64.7   ,"287,587   ",62.0   ,"12,416   ",4.1   
39,Ohio,1979,"7,948,500   ","5,059,133   ",63.6   ,"4,761,466   ",59.9   ,"297,667   ",5.9   
40,Oklahoma,1979,"2,162,917   ","1,309,688   ",60.6   ,"1,269,065   ",58.7   ,"40,623   ",3.1   
41,Oregon,1979,"1,923,417   ","1,246,757   ",64.8   ,"1,162,290   ",60.4   ,"84,467   ",6.8   
42,Pennsylvania,1979,"9,001,833   ","5,377,512   ",59.7   ,"5,001,124   ",55.6   ,"376,388   ",7.0   
44,Rhode Island,1979,"719,000   ","463,450   ",64.5   ,"434,112   ",60.4   ,"29,338   ",6.3   
45,South Carolina,1979,"2,169,417   ","1,374,740   ",63.4   ,"1,306,553   ",60.2   ,"68,187   ",5.0   
46,South Dakota,1979,"492,917   ","326,159   ",66.2   ,"315,185   ",63.9   ,"10,974   ",3.4   
47,Tennessee,1979,"3,330,417   ","2,036,299   ",61.1   ,"1,916,951   ",57.6   ,"119,348   ",5.9   
48,Texas,1979,"9,870,750   ","6,501,097   ",65.9   ,"6,217,782   ",63.0   ,"283,315   ",4.4   
49,Utah,1979,"929,083   ","605,874   ",65.2   ,"579,295   ",62.4   ,"26,579   ",4.4   
50,Vermont,1979,"368,667   ","243,880   ",66.2   ,"231,586   ",62.8   ,"12,294   ",5.0   
51,Virginia,1979,"3,824,750   ","2,532,240   ",66.2   ,"2,412,098   ",63.1   ,"120,142   ",4.7   
53,Washington,1979,"2,940,250   ","1,918,785   ",65.3   ,"1,789,134   ",60.8   ,"129,651   ",6.8   
54,West Virginia,1979,"1,430,417   ","754,601   ",52.8   ,"699,025   ",48.9   ,"55,576   ",7.4   
55,Wisconsin,1979,"3,419,750   ","2,309,934   ",67.5   ,"2,205,872   ",64.5   ,"104,062   ",4.5   
56,Wyoming,1979,"319,667   ","222,839   ",69.7   ,"217,096   ",67.9   ,"5,743   ",2.6   
01,Alabama,1980,"2,827,447   ","1,674,844   ",59.2   ,"1,529,549   ",54.1   ,"145,295   ",8.7   
02,Alaska,1980,"264,746   ","189,697   ",71.7   ,"171,714   ",64.9   ,"17,983   ",9.5   
04,Arizona,1980,"1,995,956   ","1,234,989   ",61.9   ,"1,153,197   ",57.8   ,"81,792   ",6.6   
05,Arkansas,1980,"1,668,874   ","990,297   ",59.3   ,"915,727   ",54.9   ,"74,570   ",7.5   
06,California,1980,"17,718,629   ","11,625,403   ",65.6   ,"10,824,606   ",61.1   ,"800,797   ",6.9   
037,Los Angeles County,1980,"5,647,407   ","3,785,693   ",67.0   ,"3,538,227   ",62.7   ,"247,466   ",6.5   
08,Colorado,1980,"2,128,525   ","1,498,087   ",70.4   ,"1,410,497   ",66.3   ,"87,590   ",5.8   
09,Connecticut,1980,"2,370,384   ","1,589,268   ",67.0   ,"1,498,315   ",63.2   ,"90,953   ",5.7   
10,Delaware,1980,"439,938   ","283,825   ",64.5   ,"262,436   ",59.7   ,"21,389   ",7.5   
11,District of Columbia,1980,"493,230   ","324,450   ",65.8   ,"300,505   ",60.9   ,"23,945   ",7.4   
12,Florida,1980,"7,616,882   ","4,315,685   ",56.7   ,"4,057,730   ",53.3   ,"257,955   ",6.0   
13,Georgia,1980,"3,923,903   ","2,535,168   ",64.6   ,"2,376,030   ",60.6   ,"159,138   ",6.3   
15,Hawaii,1980,"663,065   ","440,106   ",66.4   ,"418,355   ",63.1   ,"21,751   ",4.9   
16,Idaho,1980,"659,186   ","429,834   ",65.2   ,"397,324   ",60.3   ,"32,510   ",7.6   
17,Illinois,1980,"8,463,613   ","5,531,765   ",65.4   ,"5,081,896   ",60.0   ,"449,869   ",8.1   
18,Indiana,1980,"4,008,455   ","2,620,116   ",65.4   ,"2,368,618   ",59.1   ,"251,498   ",9.6   
19,Iowa,1980,"2,147,602   ","1,426,731   ",66.4   ,"1,342,010   ",62.5   ,"84,721   ",5.9   
20,Kansas,1980,"1,737,519   ","1,179,000   ",67.9   ,"1,126,445   ",64.8   ,"52,555   ",4.5   
21,Kentucky,1980,"2,648,553   ","1,658,848   ",62.6   ,"1,526,863   ",57.6   ,"131,985   ",8.0   
22,Louisiana,1980,"2,975,702   ","1,768,955   ",59.4   ,"1,644,534   ",55.3   ,"124,421   ",7.0   
23,Maine,1980,"826,019   ","506,346   ",61.3   ,"468,566   ",56.7   ,"37,780   ",7.5   
24,Maryland,1980,"3,149,488   ","2,144,150   ",68.1   ,"2,005,479   ",63.7   ,"138,671   ",6.5   
25,Massachusetts,1980,"4,377,840   ","2,873,352   ",65.6   ,"2,708,306   ",61.9   ,"165,046   ",5.7   
26,Michigan,1980,"6,768,893   ","4,324,500   ",63.9   ,"3,795,230   ",56.1   ,"529,270   ",12.2   
27,Minnesota,1980,"3,007,350   ","2,102,487   ",69.9   ,"1,980,706   ",65.9   ,"121,781   ",5.8   
28,Mississippi,1980,"1,769,652   ","1,047,998   ",59.2   ,"971,384   ",54.9   ,"76,614   ",7.3   
